Variables	Terms	2009 Jan	2009 Feb	2009 Mar	2009 Apr	2009 May	2009 Jun	2009 Jul	2009 Aug	2009 Sep	2009 Oct	2009 Nov	2009 Dec	2010 Jan	2010 Feb	2010 Mar	2010 Apr	2010 May	2010 Jun	2010 Jul	2010 Aug	2010 Sep	2010 Oct	2010 Nov	2010 Dec	2011 Jan	2011 Feb	2011 Mar	2011 Apr	2011 May	2011 Jun	2011 Jul	2011 Aug	2011 Sep	2011 Oct	2011 Nov	2011 Dec	2012 Jan	2012 Feb	2012 Mar	2012 Apr	2012 May	2012 Jun	2012 Jul	2012 Aug	2012 Sep	2012 Oct	2012 Nov	2012 Dec	2013 Jan	2013 Feb	2013 Mar	2013 Apr	2013 May	2013 Jun	2013 Jul	2013 Aug	2013 Sep	2013 Oct	2013 Nov	2013 Dec
Term Frequnecy	fort hood	1	1	0	2	0	1	1	1	0	0	47	12	16	6	5	2	9	2	2	4	7	2	3	2	5	0	3	0	4	3	1	3	3	3	1	0	0	0	0	0	2	1	2	1	1	0	0	1	3	2	0	3	5	2	1	2	0	1	1	1
Term Frequnecy	memorial day	0	1	2	0	19	5	2	2	1	0	0	2	0	0	1	6	21	13	1	2	0	0	0	0	1	0	2	1	16	11	3	0	0	0	1	0	1	0	0	1	24	6	1	0	0	1	2	1	0	1	2	2	22	3	0	0	0	0	1	0
Term Frequnecy	peter king	0	0	0	0	2	1	1	0	0	1	1	3	4	2	1	2	2	0	3	7	3	1	2	9	8	2	36	1	7	1	6	2	2	2	1	3	3	2	2	1	1	2	1	3	4	3	3	2	7	0	1	8	4	4	1	1	5	5	0	0
Term Frequnecy	mcchrystal	0	0	0	0	0	5	0	3	10	26	8	7	3	2	2	2	4	57	14	7	3	3	1	2	1	2	0	0	0	0	1	1	1	0	0	0	0	3	0	0	1	0	2	0	0	1	4	0	0	1	0	0	0	1	0	0	0	0	1	0
Term Frequnecy	george zimmerman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	26	8	2	4	0	0	2	0	3	0	0	0	2	0	3	74	12	2	0	2	7
Term Frequnecy	joe wilson	0	1	0	1	0	1	0	2	71	11	4	3	6	5	10	1	2	5	4	1	2	1	3	4	1	0	0	1	0	0	1	1	1	2	1	0	5	1	1	2	0	0	0	0	4	1	2	0	0	3	0	0	2	2	0	1	1	3	2	0
Term Frequnecy	wayne lapierre	1	0	1	1	0	4	0	3	0	0	1	0	0	1	3	2	1	2	3	2	2	1	0	0	4	3	2	3	1	0	0	0	1	2	1	0	0	0	1	2	1	2	1	0	1	0	0	39	28	11	6	12	8	2	2	3	3	2	1	1
Term Frequnecy	human rights campaign	1	2	2	3	0	4	0	3	0	17	1	2	2	6	3	3	1	1	2	1	3	2	2	2	1	2	0	0	0	5	1	0	4	3	2	1	0	3	8	2	6	1	3	4	1	3	6	4	5	1	10	6	1	5	6	6	0	2	1	2
Term Frequnecy	boston marathon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	79	48	14	3	5	4	4	1	4
Term Frequnecy	rand	1	0	2	1	0	0	0	3	1	3	3	4	0	2	1	1	11	6	1	1	3	2	3	2	1	0	0	5	5	4	2	1	2	0	2	3	2	4	2	3	3	3	0	20	8	7	3	1	2	3	5	3	3	3	3	1	4	1	2	3
Term Frequnecy	gaddafi	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	51	16	7	6	4	8	5	16	3	5	2	2	1	2	3	2	2	1	3	4	2	1	0	0	1	0	1	0	0	2	1	3	1	2
Term Frequnecy	mark sanford	0	7	4	0	1	20	25	10	5	2	3	7	3	8	3	2	3	5	1	2	1	2	1	1	1	0	0	0	1	5	0	0	1	0	2	2	5	0	0	0	1	0	0	0	0	0	1	0	0	1	1	5	9	0	7	3	1	0	0	1
Term Frequnecy	cayman islands	0	0	0	1	3	0	0	0	0	0	0	1	4	0	0	1	1	2	3	0	2	0	1	0	0	2	0	4	1	0	1	1	1	2	1	0	13	4	3	3	5	0	19	13	19	17	10	2	2	3	4	1	2	5	0	1	1	1	1	0
Term Frequnecy	islamabad	2	0	3	3	5	2	2	3	3	2	1	12	1	1	3	4	2	4	9	5	3	3	3	3	2	2	1	1	19	2	3	0	6	3	1	1	0	3	1	2	2	2	4	1	4	2	1	1	3	1	4	0	1	0	1	0	0	0	1	1
Term Frequnecy	sanford	1	3	1	1	1	17	20	4	2	0	1	4	3	1	0	0	3	1	0	0	0	1	0	2	1	0	0	0	2	1	1	0	1	1	4	0	1	1	12	16	3	2	1	1	0	0	2	2	0	1	2	7	6	1	17	1	0	1	0	1
Term Frequnecy	thanksgiving	1	0	0	0	1	1	0	1	2	3	8	3	1	2	0	1	1	1	0	0	0	1	23	5	0	0	0	0	0	0	0	2	2	1	25	4	0	0	0	0	1	0	0	1	1	3	18	2	0	0	0	2	1	1	1	1	0	3	22	8
Term Frequnecy	van jones	3	2	2	1	0	0	1	1	31	5	2	0	4	4	4	0	3	2	9	6	2	3	4	0	3	4	2	1	3	1	2	2	4	3	5	2	0	1	3	2	2	1	2	0	1	1	4	1	0	1	0	1	1	0	1	1	0	3	0	0
Term Frequnecy	nobel	3	1	2	2	0	0	0	1	1	34	2	16	3	3	0	0	3	0	1	2	3	1	1	2	3	2	0	2	3	1	0	1	1	4	1	2	0	2	2	1	1	2	1	3	1	4	1	4	2	2	2	4	2	0	1	2	2	3	2	1
Term Frequnecy	muammar gaddafi	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	31	14	8	6	1	7	5	11	4	7	5	0	2	2	5	2	2	2	4	1	2	1	0	0	2	2	4	2	0	0	4	2	1	1
Term Frequnecy	timothy mcveigh	2	1	0	6	2	5	1	7	2	2	5	3	2	2	11	12	3	1	2	8	7	3	1	1	4	1	4	0	3	1	3	2	2	0	1	0	1	0	2	1	1	0	0	1	0	2	1	1	3	1	1	16	2	1	0	0	0	1	0	0
Term Frequnecy	hbo	7	2	1	1	3	2	8	6	4	1	1	0	3	0	1	1	3	1	2	4	2	1	3	1	1	1	3	2	2	3	2	0	0	2	2	0	2	0	16	3	7	0	4	3	1	2	6	1	0	2	3	3	4	3	2	1	3	1	1	0
Term Frequnecy	virginia tech	2	0	0	4	1	0	0	0	1	0	5	0	0	0	1	5	0	0	3	3	0	1	2	4	12	3	1	2	1	2	3	0	1	0	2	0	0	2	3	3	1	1	10	2	2	0	0	18	12	6	1	10	4	1	2	1	3	0	2	0
Term Frequnecy	oslo	1	0	0	1	0	2	1	0	1	16	3	25	4	0	3	2	0	0	1	1	4	2	1	6	1	2	3	1	2	1	6	6	2	2	3	0	4	1	0	2	3	0	4	3	1	2	1	1	3	0	1	3	0	1	3	1	2	0	1	3
Term Frequnecy	stevens	1	0	0	6	5	4	2	3	2	4	3	0	2	2	1	18	9	8	1	2	2	1	0	1	1	1	1	0	1	2	0	0	0	1	0	0	4	0	1	1	0	2	5	0	11	9	8	2	2	2	0	1	1	0	1	0	0	3	2	3
Term Frequnecy	clint eastwood	1	0	0	0	0	0	0	0	1	0	2	1	3	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	4	1	1	1	0	15	51	12	5	5	3	0	0	1	7	1	0	0	0	0	1	1
Term Frequnecy	ahmadinejad	0	1	0	3	1	27	2	2	7	3	0	4	0	1	4	0	9	2	1	0	7	3	3	2	1	1	1	1	0	0	0	0	8	2	2	1	1	3	2	3	1	0	0	1	2	4	3	0	1	0	2	0	2	1	3	1	2	4	0	0
Term Frequnecy	arab league	4	0	1	1	1	2	4	0	0	0	0	0	0	0	3	2	0	0	1	1	3	1	0	1	1	2	26	8	2	3	0	4	3	3	1	4	1	2	6	3	3	2	1	1	3	1	1	1	0	1	1	2	2	1	0	8	10	2	1	0
Term Frequnecy	ted	5	1	0	3	1	3	1	24	4	0	0	0	6	3	0	0	2	4	0	1	4	5	0	1	2	2	0	0	2	2	1	0	1	0	0	4	0	1	0	1	1	0	2	4	1	2	1	0	1	1	5	0	4	5	1	2	4	7	3	4
Term Frequnecy	independence day	1	0	0	0	1	5	18	2	1	2	2	2	0	0	1	1	0	4	18	0	0	1	1	0	0	0	0	1	1	0	13	0	0	0	1	0	0	1	2	1	2	1	21	1	1	1	3	0	0	0	0	0	2	5	13	0	1	1	0	0
Term Frequnecy	nashville	0	1	1	2	3	0	1	1	4	1	1	0	1	16	3	1	4	4	5	3	2	2	1	1	2	2	4	1	0	4	2	2	2	3	4	1	3	3	2	3	2	3	0	2	2	0	2	2	3	2	5	1	0	2	0	3	2	2	1	1
Term Frequnecy	tahrir square	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	38	7	3	2	3	5	2	5	13	13	5	3	3	0	1	1	4	3	2	1	1	0	0	2	1	1	1	1	2	3	1	2	0	0	0
Term Frequnecy	drug war	2	2	0	3	0	1	1	1	0	1	0	1	0	0	2	0	2	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	0	1	1	0	2	1	1	0	2	34	39	3	4	2	1	2	1	3	1	1	0	4	0	0	0	2
Term Frequnecy	zimmerman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	0	1	0	0	1	0	18	19	6	1	0	0	0	1	0	1	0	0	0	1	0	3	60	9	0	0	1	1
Term Frequnecy	haitian	2	1	0	4	5	0	2	1	2	1	0	0	31	11	8	1	2	2	2	1	0	2	1	2	7	3	1	0	1	1	0	2	2	0	3	0	1	0	2	1	0	0	0	1	0	1	3	1	0	0	2	1	1	1	2	4	2	1	3	0
Term Frequnecy	joe sestak	1	0	0	1	6	2	0	6	1	6	2	1	2	2	0	2	24	11	6	6	8	15	11	2	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Term Frequnecy	richard lugar	3	2	1	4	0	1	0	2	0	1	4	2	0	1	3	1	1	2	5	3	2	2	5	5	1	1	3	0	3	3	1	1	1	1	3	1	0	0	2	1	18	2	1	5	3	0	6	3	1	2	0	1	1	0	1	1	2	2	1	2
Term Frequnecy	ponzi	8	2	6	2	2	2	4	2	1	3	5	1	1	2	1	4	2	0	5	2	5	2	2	1	0	3	1	0	4	2	0	0	15	3	3	0	2	0	3	2	0	1	0	1	1	1	2	0	2	0	0	2	2	1	1	2	1	1	2	1
Term Frequnecy	ows	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	34	14	11	4	4	3	1	2	1	0	3	2	0	0	1	1	0	0	1	1	0	0	2	0	0	0
Term Frequnecy	richard holbrooke	6	5	2	3	1	2	3	5	10	2	6	3	1	0	0	2	1	12	4	4	4	4	1	17	4	0	0	1	2	1	0	0	1	1	0	0	2	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	1	0	0
Term Frequnecy	blue dog	2	1	2	3	3	0	16	10	7	2	5	1	7	1	6	2	4	3	3	0	3	7	13	3	1	0	0	1	1	2	1	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0
Term Frequnecy	martha coakley	0	0	0	0	0	0	3	0	2	0	2	3	67	6	6	1	1	0	0	0	2	3	0	2	1	0	0	0	0	0	1	0	1	1	0	2	3	1	1	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	2	0
Term Frequnecy	new start	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10	1	0	3	5	4	1	25	25	6	1	5	1	4	1	1	0	0	0	1	1	1	0	0	3	2	1	3	0	3	1	0	1	0	2	0	1	0	0	2	1	0	1	0	0
Term Frequnecy	margaret thatcher	0	1	1	2	2	2	2	1	1	1	2	2	2	1	0	3	5	1	3	1	1	1	0	0	2	2	4	3	0	2	2	1	0	2	1	1	5	1	4	3	3	0	3	3	0	2	1	3	1	2	0	18	3	3	0	0	1	1	2	5
Term Frequnecy	american jobs act	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	27	6	4	0	1	2	1	0	3	0	2	9	6	4	4	4	2	0	0	2	0	2	0	0	2	1	0
Term Frequnecy	mali	0	0	0	1	0	1	2	0	0	1	0	1	2	0	0	0	0	4	0	0	0	2	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	2	8	1	1	16	2	4	10	12	9	4	4	5	0	3	2	5	4	2
Term Frequnecy	shah	4	1	2	0	0	16	1	2	0	0	1	7	1	4	0	0	1	2	1	2	1	1	0	5	4	11	1	2	0	1	1	1	1	1	1	2	4	2	1	2	1	0	1	1	2	2	0	1	1	0	1	2	5	1	1	1	1	1	4	2
Term Frequnecy	rob portman	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	1	0	0	2	6	2	1	1	0	0	0	0	0	0	2	0	1	0	1	0	1	2	2	4	2	9	16	5	3	1	0	0	0	19	7	1	2	1	0	1	2	6	1
Term Frequnecy	columbine	0	1	0	4	0	0	0	0	0	1	2	0	0	0	1	5	1	0	0	0	0	0	1	2	13	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	8	1	0	0	0	23	11	7	5	4	2	0	2	0	0	0	1	2
Term Frequnecy	o'donnell	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	32	38	9	2	0	1	0	1	1	0	0	2	3	1	0	0	0	1	2	1	0	0	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0
Term Frequnecy	andrew breitbart	0	0	1	0	0	0	0	1	3	0	0	1	3	3	2	0	1	1	20	13	3	3	5	3	2	3	2	0	4	5	3	0	1	0	1	0	1	1	7	0	2	2	1	2	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0
Term Frequnecy	start	0	1	0	3	0	0	1	0	1	0	0	0	2	2	2	4	1	0	1	3	4	1	24	23	3	3	1	0	2	1	1	0	0	1	1	1	2	0	2	1	2	0	0	1	0	1	1	0	1	0	0	2	0	1	2	0	0	2	0	0
Term Frequnecy	michael jackson	1	1	2	1	0	4	42	9	2	1	2	3	1	1	2	1	1	4	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	0	2	2	1	1	0	1	1	0	1	1	2	0	0	0	1	1	0
Term Frequnecy	lower manhattan	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	2	38	13	4	1	1	0	0	0	0	1	0	0	0	3	15	6	2	1	0	0	0	2	0	0	0	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	1
Term Frequnecy	sandra fluke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49	5	3	1	3	3	14	8	5	1	1	1	0	0	1	0	1	0	1	1	1	0
Term Frequnecy	conn.	0	2	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	2	2	2	0	2	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	1	0	0	1	1	0	2	33	16	4	2	6	3	2	0	1	1	1	0	1
Term Frequnecy	todd	1	4	2	3	2	1	16	1	4	1	3	1	1	5	2	3	2	2	2	2	1	2	1	0	2	0	0	1	0	1	1	0	1	1	0	0	2	1	3	0	1	2	0	2	1	0	4	3	0	0	2	0	2	1	1	2	3	0	1	0
Term Frequnecy	giffords	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	62	5	1	0	1	0	1	3	0	3	2	1	4	1	1	2	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0
Term Frequnecy	shirley sherrod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	17	6	6	1	3	1	0	1	0	2	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
Term Frequnecy	richard mourdock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	3	2	20	28	7	7	4	1	2	0	0	3	2	0	1	0	0
Term Frequnecy	tiger woods	2	0	1	0	0	3	1	3	0	0	1	24	11	5	10	10	6	2	2	2	2	0	0	1	0	0	0	1	1	2	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	verizon	1	0	0	0	1	0	0	0	1	0	2	0	1	1	1	2	5	0	2	10	1	0	2	4	0	2	1	0	2	1	1	1	3	0	2	2	1	1	0	2	1	1	5	1	1	0	1	0	0	1	3	0	0	20	2	3	1	1	3	0
Term Frequnecy	stonewall	0	0	0	0	0	4	2	0	0	4	0	0	3	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	3	2	0	1	3	1	0	1	0	3	1	2	5	0	0	0	1	1	0	19	9	4	3	1	5	1	4	1	2	1	1
Term Frequnecy	stand your ground	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	20	3	4	6	0	2	1	1	4	1	0	1	1	0	2	25	11	0	0	0	2
Term Frequnecy	edward kennedy	1	2	0	4	0	2	1	25	9	2	0	0	10	0	0	1	0	0	2	1	2	0	0	1	1	0	0	2	0	1	0	1	0	0	1	0	4	1	1	2	1	0	0	1	1	0	0	0	0	0	0	2	1	3	0	2	0	0	4	0
Term Frequnecy	cpac	0	2	11	2	0	0	0	0	0	0	0	0	1	21	2	2	1	0	0	0	1	0	1	0	2	8	2	0	0	0	0	1	1	1	1	0	0	10	3	2	0	2	0	0	0	0	0	0	0	1	12	1	1	0	0	0	0	0	0	0
Term Frequnecy	henry louis gates	0	0	0	0	0	0	40	4	4	2	1	3	4	2	1	0	6	2	4	4	0	2	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Term Frequnecy	veterans day	0	1	0	1	1	0	1	0	0	1	10	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1	2	1	1	18	2	0	0	0	0	3	1	0	0	0	2	17	3	0	0	0	0	2	0	0	0	0	0	14	1
Term Frequnecy	adam lanza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	9	8	2	10	6	1	2	0	0	1	1	6
Term Frequnecy	judd gregg	1	20	9	1	4	1	2	1	1	2	1	3	3	3	6	2	2	3	1	2	4	2	2	4	0	0	0	0	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Term Frequnecy	dimon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	3	1	2	2	0	0	2	0	0	1	0	2	5	0	1	18	10	3	2	0	2	1	0	2	3	7	0	3	0	0	2	2	5	2	1
Term Frequnecy	john paul stevens	0	0	1	0	2	2	1	2	0	0	1	0	2	0	1	23	14	8	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	1	2	3	2	0	2	2	0	0	1	5	1	0	0	0	0	1	0	2	0	0	0	0	0
Term Frequnecy	jared loughner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	3	1	1	1	2	0	1	2	1	2	3	0	1	0	0	1	3	2	0	0	0	5	1	2	0	6	1	0	1	0	3	0	0	0
Term Frequnecy	mike castle	0	0	0	0	0	0	3	2	1	0	0	0	1	1	0	2	2	1	1	2	27	10	12	3	0	0	0	2	0	0	0	0	2	0	0	0	2	0	1	1	2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1
Term Frequnecy	jindal	1	20	11	1	2	0	3	0	0	0	2	0	1	0	0	3	4	3	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	6	3	0	0	3	1	2	4	0	0	0	0	0	1	1	0	1	2
Term Frequnecy	barton	0	0	3	1	2	0	1	0	2	0	0	0	1	1	1	0	1	20	8	2	2	1	0	1	2	0	2	1	5	2	2	1	1	1	1	1	2	0	2	1	1	0	0	1	0	0	0	1	1	1	0	1	1	2	0	0	0	3	0	0
Term Frequnecy	robert mcnamara	1	0	1	1	0	1	24	2	4	0	1	1	1	1	0	1	1	1	2	3	1	2	2	5	0	1	0	1	1	2	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	1	1	1	1	0	1	1	2	0	0	1	0	1	3	0
Term Frequnecy	republican convention	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	3	1	0	0	1	24	24	5	5	1	0	1	0	0	0	0	1	1	0	0	0	0
Term Frequnecy	george tiller	0	0	1	0	3	36	6	3	1	0	2	1	1	0	1	3	1	1	0	0	2	2	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	gettysburg address	2	3	1	0	1	1	1	0	0	3	0	1	0	0	0	0	1	0	2	5	0	2	0	1	4	0	2	0	1	1	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	1	5	3	3	1	2	1	0	0	3	2	0	0	17	2
Term Frequnecy	office of legal counsel	3	0	1	16	9	2	1	4	1	0	1	0	0	2	0	3	2	1	3	0	0	1	1	0	0	0	0	1	1	2	0	1	0	0	0	1	1	0	1	1	0	2	0	1	1	2	0	1	1	1	0	1	1	2	0	0	2	1	1	1
Term Frequnecy	big bird	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	54	10	2	2	0	0	0	0	0	1	0	0	1	0	0
Term Frequnecy	crowley	1	0	0	0	0	1	32	6	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	2	2	2	7	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	5	0	0	0	0	3	0	0	0	0	1	0	0	0	1
Term Frequnecy	fisa	3	0	1	2	1	1	0	2	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	1	0	1	1	25	10	8	1	0	0	2
Term Frequnecy	lapierre	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	3	1	2	0	0	0	0	1	1	0	0	0	0	0	2	0	1	1	0	1	0	0	23	14	4	3	3	2	1	0	1	2	2	0	0
Term Frequnecy	haitians	1	0	0	1	0	0	0	1	0	0	0	0	19	7	6	1	3	0	2	2	1	0	3	1	5	2	1	0	1	2	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	2	2	0	1	2	0	0	0	0	2	0	0	1	0
Term Frequnecy	tiller	0	0	1	0	3	47	2	3	1	2	2	0	2	2	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Term Frequnecy	s & p	1	0	1	1	0	0	0	2	0	1	1	0	1	0	2	2	0	1	0	2	1	3	0	0	0	1	1	2	1	0	1	21	3	2	0	0	4	0	0	0	2	2	0	1	4	1	0	0	1	1	0	1	2	0	0	0	0	2	2	1
Term Frequnecy	sandy hook elementary school	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	14	4	3	8	6	1	1	1	1	0	2	2
Term Frequnecy	joe barton	0	0	2	0	2	0	0	1	2	2	0	0	1	0	0	0	1	25	10	2	1	3	2	2	1	0	1	2	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2
Term Frequnecy	stupak	0	0	0	0	0	0	0	0	1	0	24	7	5	0	22	4	0	0	2	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	navy seals	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	2	1	4	4	3	0	2	0	1	1	1	8	0	0	2	1	4	2	4	2	3	0	0	0	0	1	0	0	1	0	2
Term Frequnecy	huffpost shadow conventions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	abbottabad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	2	3	1	2	0	0	0	1	1	3	3	6	1	0	1	1	2	0	2	7	0	1	1	2	1	0	0	0	1	0	0
Term Frequnecy	mcdonnell	0	0	0	2	0	2	1	0	3	1	10	2	1	0	1	16	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	2	1	0	1	3	1	3	1	0	2	0	0	1	0	2	1	2	0	0	0	2	0	1	1	0	1
Term Frequnecy	wendy davis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	16	22	4	4	11	5	6
Term Frequnecy	sikh	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	19	5	1	0	8	9	1	2	2	0	0	1	2	2	0	2	1
Term Frequnecy	ramadan	0	0	1	0	0	0	0	2	5	1	1	1	0	0	0	0	0	1	1	16	9	0	1	0	0	1	1	0	1	0	1	3	2	0	1	0	0	0	0	1	2	0	2	2	0	0	1	0	1	0	0	1	0	0	4	3	2	0	0	1
Term Frequnecy	netroots nation	2	0	0	1	0	0	0	18	1	0	1	0	0	0	1	0	4	0	9	6	1	2	1	0	0	0	0	1	0	11	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Term Frequnecy	romney-ryan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	24	12	21	1	0	1	1	0	0	0	0	0	0	0	0	0	1
Term Frequnecy	ground zero mosque	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	17	3	1	0	2	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Term Frequnecy	glock	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	19	4	0	1	1	3	0	1	1	1	1	0	1	0	1	2	0	1	2	0	0	0	0	9	3	1	1	1	0	0	1	0	0	2	1	0
